Name,Description,Latitude,Longitude,InfoURL,ImageURL,
UCSB,A great university located along the California coast!,34.416929,-119.845991,"https://en.wikipedia.org/wiki/University_of_California, _Santa_Barbara",https://www.history.ucsb.edu/wp-content/uploads/LagoonFall20141.jpg,
Lake Tahoe,A beautiful lake located on the border of California and Nevada. Great for lake activities in the summer and snow activities in the winter.,39.545,-120.2,https://en.wikipedia.org/wiki/Lake_Tahoe,https://thumbor.forbes.com/thumbor/960x0/https%3A%2F%2Fblogs-images.forbes.com%2Ftrevornace%2Ffiles%2F2018%2F04%2Flake-tahoe-snow-2.jpg,
Hollister Ranch,A cattle ranch located on the coast of California with large plots of land and private beaches.,34.2558,-119.528,https://en.wikipedia.org/wiki/Hollister_Ranch,https://www.trbimg.com/img-5ca564d7/turbine/la-1554343120-ic2uvott7h-snap-image/2000,
"Hanalei Bay, Kauai","A tropical bay consisting of beaches surrounded by mountains, located on the north shore of Kauai.",22.1232,-159.3025,https://en.wikipedia.org/wiki/Hanalei_Bay,https://www.to-hawaii.com/kauai/beaches/images/hanaleibay/hanalei_bay_aerial_view.jpg,
Manhattan Beach,"A laid back beach community located on the coast of California, just west of Los Angeles.",33.535,-118.2439,"https://en.wikipedia.org/wiki/Manhattan_Beach,_California",https://applianceguard.com/wp-content/uploads/2014/10/appliance-repair-manhattan-beach1.jpg,
"Santa Fe, New Mexico","Santa Fe, the capital of New Mexico located in the Rio Grande Valley, is a small town with rich history. Santa Fe is known for its unique adobe architecture, food, and creative arts.",35.4113,-105.5616,"https://en.wikipedia.org/wiki/Santa_Fe,_New_Mexico",https://www.audubon.org/sites/default/files/styles/hero_image/public/sfw_santa-fe.-denis-tangney-jr-istock-by-getty-images.jpg?itok=VVrpV4rp,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,